"keyWord";"mainKwd";"fld"
"Accounting";;"Areas"
"Audit";;"Areas"
"Clearing";;"Areas"
"Fund_Distribution";;"Areas"
"Funds_Administration";;"Areas"
"Funds_Investment";;"Areas"
"Life_Insurance";;"Areas"
"Mainframe";;"Areas"
"Paiements";;"Areas"
"Payment";"SWIFT";"Areas"
"Private Banking";;"Areas"
"Private Equity";;"Areas"
"Regulatory Reporting";;"Areas"
"Risk";;"Areas"
"Securities Lending";;"Areas"
"Security_Services";;"Areas"
"Tax";"TVA";"Areas"
"Transfer_Agency";;"Areas"
"Wealth_Management";;"Areas"
" IT_";;"Areas"
"_TA_";"Transfer_Agency";"Areas"
"Agent de Transfer";"Transfer_Agency";"Areas"
"BASEL";"Risk";"Areas"
"BCBS";"Risk";"Areas"
"comptabilité";"Accounting";"Areas"
"expert comptable";"Accounting";"Areas"
"fiscalité";"Tax";"Areas"
"fonds";"Funds_Investment";"Areas"
"fonds d’investissements";"Funds_Investment";"Areas"
"Fund Distribution";"Fund_Distribution";"Areas"
"Funds";"Funds_Investment";"Areas"
"Funds Aministration";"Funds_Administration";"Areas"
"Life Insurance";"Life_Insurance";"Areas"
"Life-Insurance";"Life_Insurance";"Areas"
"Payments";"Payment";"Areas"
"Règlementation";"Regulatory Reporting";"Areas"
"Regulatory";;"Areas"
"Repo_";"Securities Lending";"Areas"
"Reporting";;"Areas"
"Reporting Règlementaire";"Regulatory Reporting";"Areas"
"Retail";"Retail_Banking";"Areas"
"Retail Banking";"Retail_Banking";"Areas"
"security lending";"Securities Lending";"Areas"
"Settlement";"Payment";"Areas"
"Transfer Agency";;"Areas"
"Transfer Agent";"Transfer_Agency";"Areas"
"Wealth";"Wealth_Management";"Areas"
"Insurance";;"Areas"
"Information Technology";" IT_";"Areas"
"Bank";;"Areas"
"Banque";"Bank";"Areas"
"Bancaire";"Bank";"Areas"
"Industry";;"Areas"
"Industrial";"Industry";"Areas"
" EMIR_";;"Areas"
"Industrie";"Industry";"Areas"
"Informatique";" IT_";"Areas"
"Règlementaire";"Regulatory";"Areas"
"reglementaire";"Regulatory";"Areas"
"capital-investissement";"Private Equity";"Areas"
"Finance";;"Areas"
"private";;"Areas"
"privé";"private";"Areas"
"public";;"Areas"
"publique";"public";"Areas"
"education";;"Areas"
"éducation";"education";"Areas"
"Computer";;"Areas"
"Ordinateur";"Computer";"Areas"
"Credit";;"Areas"
"Crédit";"Credit";"Areas"
"lending";"Securities Lending";"Areas"
"pré empreint";"Securities Lending";"Areas"
"AXA FUNDS MANAGEMENT";;"Clients"
"AXA INSURANCE";;"Clients"
"BANCO_BRADESCO_EUROPA_SA";"Banco BRADESCO";"Clients"
"BANK_GPB_INTERNATIONAL_GAZPROMBANK";;"Clients"
"BANQUE_DE_LUXEMBOURG";;"Clients"
"Banque Internationale à Luxembourg";;"Clients"
"BGL";;"Clients"
"BOURSE_DE_Luxembourg";;"Clients"
"BP2S";;"Clients"
"CACEIS";;"Clients"
"CALI_";;"Clients"
"CANDRIAM";;"Clients"
"CLEARSTREAM";;"Clients"
"COUR_JUSTICE_EUROPEENNE_LUXEMBOURG";;"Clients"
"CREDIT_SWISS";"CREDIT SUISSE";"Clients"
"CSSF";;"Clients"
"DEGROOF_PETERCAM";;"Clients"
"EAST_WEST_United_Bank";;"Clients"
"EUROBANK";;"Clients"
"EUROPEAN_INVESTMENT_BANK";;"Clients"
"FORTUNA_BANQUE";;"Clients"
"FOYER";;"Clients"
"HSBC";;"Clients"
" ING_";;"Clients"
"JP_MORGAN";;"Clients"
"JULIUS_BÄR";;"Clients"
"KBL";;"Clients"
"LOMBARD_INTERNATIONAL";;"Clients"
"LUXCELLENCE";;"Clients"
"NATIXIS";;"Clients"
"NOMURA";;"Clients"
"NORTHERN_TRUST";;"Clients"
"POST_GROUP";;"Clients"
"RAIFFEISEN";;"Clients"
"ROTHSCHILD";;"Clients"
"ROYAL_BANK_OF_CANADA";;"Clients"
"SCHRODERS";;"Clients"
"SEB";;"Clients"
"SGBT";;"Clients"
"SGSS";;"Clients"
"SOGE_LIFE";"SOGE_LIFE";"Clients"
"SPUERKEESS";"BCEE";"Clients"
"STATE_STREET";;"Clients"
"SWISS_LIFE";"SWISS LIFE";"Clients"
"VP_BANK";;"Clients"
"  BIL_";"Banque Internationale à Luxembourg";"Clients"
" ING Bank";" ING_";"Clients"
"AGRICOLE INSU";"CALI_";"Clients"
